Data;Codigo;open;close;high;low;volume
2008-01-02;ABCB4;12.0;11.5;12.0;11.5;1003110.0
2008-01-02;PETR4;86.99;87.0;87.74;85.91;708935438.0
2008-01-02;PETR3;103.0;104.31;105.0;102.8;135750367.0
2008-01-02;PDGR3;25.05;24.0;25.98;24.0;9602142.0
2008-01-02;OHLB3;22.49;23.3;23.7;22.45;17371848.0
2008-01-02;ODPV3;43.5;44.3;45.31;43.5;2104392.0
2008-01-02;NETC4;21.72;21.28;22.36;21.09;38830989.0
2008-01-02;NATU3;17.1;17.75;17.94;16.3;23242192.0
2008-01-02;MULT3;21.3;20.5;21.3;20.5;859566.0
2008-01-02;MRVE3;38.0;38.5;39.75;38.0;10387893.0
2008-01-02;MRFG3;15.1;15.24;15.5;15.1;6480473.0
2008-01-02;PINE4;17.6;17.3;17.8;17.02;665490.0
2008-01-02;PMAM3;23.15;21.7;23.15;21.46;3867232.0
2008-01-02;RDCD3;29.0;28.25;29.35;28.25;61615337.0
2008-01-02;RAPT4;17.5;17.4;17.99;17.05;11493253.0
2008-01-02;PSSA3;64.5;63.3;64.7;63.3;4781248.0
2008-01-02;PRVI3;9.99;9.6;9.99;9.4;1099817.0
2008-01-02;POSI3;43.49;40.0;43.49;39.5;25438092.0
2008-01-02;POMO4;7.33;7.15;7.33;7.02;1704271.0
2008-01-02;PLAS3;9.39;9.0;9.39;8.95;1717871.0
2008-01-02;MMXM3;957.0;950.0;974.99;935.0;6892091.0
2008-01-02;KLBN4;6.53;6.55;6.67;6.45;24666137.0
2008-01-02;KEPL3;0.34;0.35;0.36;0.34;2692480.0
2008-01-02;JHSF3;5.8;5.59;5.89;5.5;441377.0
2008-01-02;JBSS3;5.9;5.95;6.0;5.78;3541286.0
2008-01-02;JBDU4;0.18;0.19;0.2;0.18;539460.0
2008-01-02;ITSA4;11.76;11.3;11.9;11.21;70199928.0
2008-01-02;INPR3;18.95;18.2;18.95;18.2;4396399.0
2008-01-02;INEP4;39.58;39.65;39.65;39.5;15831.0
2008-01-02;IGTA3;29.15;27.8;29.2;27.37;4012688.0
2008-01-02;KSSA3;13.49;13.58;13.58;12.95;1869901.0
2008-01-02;LAME4;15.76;15.11;15.97;15.11;28533066.0
2008-01-02;MLFT4;0.89;0.87;0.9;0.87;432490.0
