Codigo,Nome,Setor,Asset Class,Valor de mercado,Peso,Valor Nacional,Shares,Preco,Localizacao,Exchange,Currency,FX Rate,Market Currency
"VALE3","CIA VALE DO RIO DOCE SH","Materiais","Renda Variável","1.893.995.386,80","13,80","1.893.995.386,80","24.533.619,00","77,20","Brasil","XBSP","BRL","1,00","BRL"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energia","Renda Variável","994.330.567,44","7,25","994.330.567,44","26.700.606,00","37,24","Brasil","XBSP","BRL","1,00","BRL"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Produtos financeiros","Renda Variável","953.726.127,77","6,95","953.726.127,77","28.075.541,00","33,97","Brasil","XBSP","BRL","1,00","BRL"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energia","Renda Variável","542.203.926,04","3,95","542.203.926,04","13.909.798,00","38,98","Brasil","XBSP","BRL","1,00","BRL"
"BBDC4","BANCO BRADESCO PREF SA","Produtos financeiros","Renda Variável","514.284.413,90","3,75","514.284.413,90","30.092.710,00","17,09","Brasil","XBSP","BRL","1,00","BRL"
"ELET3","CENTRAIS ELETR BRAS-ELETROBRAS","Serviços públicos","Renda Variável","491.366.597,63","3,58","491.366.597,63","11.580.641,00","42,43","Brasil","XBSP","BRL","1,00","BRL"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Produtos financeiros","Renda Variável","476.624.840,55","3,47","476.624.840,55","32.757.721,00","14,55","Brasil","XBSP","BRL","1,00","BRL"
"BBAS3","BANCO DO BRASIL SA","Produtos financeiros","Renda Variável","460.206.430,25","3,35","460.206.430,25","8.308.475,00","55,39","Brasil","XBSP","BRL","1,00","BRL"
"ABEV3","AMBEV SA","Bens de primeira necessidade","Renda Variável","352.774.857,98","2,57","352.774.857,98","25.693.726,00","13,73","Brasil","XBSP","BRL","1,00","BRL"
"BRL","BRL CASH","Caixa e/ou Derivativos","Caixa","344.476.523,53","2,51","344.476.523,53","344.476.524,00","100,00","Brasil","-","BRL","1,00","BRL"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Produtos financeiros","Renda Variável","325.753.235,17","2,37","325.753.235,17","31.413.041,00","10,37","Brasil","XBSP","BRL","1,00","BRL"
"WEGE3","WEG SA","Bens Industriais","Renda Variável","319.753.839,88","2,33","319.753.839,88","8.663.068,00","36,91","Brasil","XBSP","BRL","1,00","BRL"
"RENT3","LOCALIZA RENT A CAR SA","Bens Industriais","Renda Variável","316.068.722,40","2,30","316.068.722,40","4.969.634,00","63,60","Brasil","XBSP","BRL","1,00","BRL"
"BPAC11","BCO BTG PACTUAL UNT SA","Produtos financeiros","Renda Variável","253.039.478,24","1,84","253.039.478,24","6.727.984,00","37,61","Brasil","XBSP","BRL","1,00","BRL"
"EQTL3","EQUATORIAL ENERGIA SA","Serviços públicos","Renda Variável","228.823.998,84","1,67","228.823.998,84","6.406.047,00","35,72","Brasil","XBSP","BRL","1,00","BRL"
