Data;Codigo;open;close;high;low;volume
2003-01-02;TMCP4;3.0;3.08;3.09;2.98;1701790.0
2003-01-02;CMIG3;23.5;23.3;23.7;23.3;21145.0
2003-01-02;ITSA4;1.9;1.88;1.9;1.87;2794030.0
2003-01-02;ITAU3;154.5;155.0;155.0;154.5;66600.0
2003-01-02;UNIP6;1.14;1.14;1.15;1.12;213540.0
2003-01-02;ITAU4;170.0;168.0;170.0;168.0;4679702.7
2003-01-02;CRUZ3;17.8;18.0;18.0;17.8;695227.0
2003-01-02;RAPT4;1.22;1.21;1.22;1.21;3643.0
2003-01-02;POMO4;4.3;4.25;4.3;4.25;101183.0
2003-01-02;EBTP4;3.9;4.3;4.3;3.84;14386897.0
2003-01-02;GGBR4;33.67;33.2;33.7;32.8;1755759.0
2003-01-02;FFTL4;9.7;9.85;10.0;9.7;210805.0
2003-01-02;FJTA4;1.98;1.95;1.98;1.95;57786.0
2003-01-02;GOAU4;55.7;54.7;55.7;54.4;235678.0
2003-01-02;DURA4;51.99;52.0;52.0;51.99;270399.0
2003-01-02;GETI3;17.01;17.01;17.01;17.01;124173.0
2003-01-02;FLCL5;1.2;1.2;1.2;1.2;120.0
2003-01-02;CMIG4;26.45;26.7;26.7;25.85;3945069.0
2003-01-02;INEP4;0.55;0.55;0.55;0.54;46106.0
2003-01-02;KLBN4;1.03;1.06;1.08;1.03;224050.0
2003-01-02;PRGA4;12.3;12.87;12.9;12.3;167410.0
2003-01-02;RIPI4;6.0;6.0;6.0;6.0;13200.0
2003-01-02;ROMI4;30.0;30.0;30.0;30.0;12000.0
2003-01-02;VALE5;95.8;97.0;97.6;95.8;11443927.0
2003-01-02;VALE3;102.5;102.0;102.99;102.0;2758615.0
2003-01-02;PETR3;52.8;52.55;53.29;52.55;6218506.0
2003-01-02;PETR4;46.56;47.1;47.8;46.55;14648724.0
2003-01-02;PLIM4;0.43;0.44;0.44;0.42;2406818.0
