Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
01/05/2024;00:00:00;0             ;1,482             ;6,147.5;
01/05/2024;00:15:00;0             ;1,476             ;6,111.1;
01/05/2024;00:30:00;0             ;1,471             ;6,080.7;
01/05/2024;00:45:00;0             ;1,464             ;6,038.3;
01/05/2024;01:00:00;0             ;1,459             ;6,008.1;
01/05/2024;01:15:00;0             ;1,454             ;5,977.9;
01/05/2024;01:30:00;0             ;1,450             ;5,953.8;
01/05/2024;01:45:00;0             ;1,436             ;5,869.6;
01/05/2024;02:00:00;0             ;1,433             ;5,851.7;
01/05/2024;02:15:00;0.8             ;1,424             ;5,797.8;
01/05/2024;02:30:00;6.2             ;1,419             ;5,768;
01/05/2024;02:45:00;1.4             ;1,411             ;5,720.3;
01/05/2024;03:00:00;0             ;1,406             ;5,690.6;
01/05/2024;03:15:00;0             ;1,399             ;5,649;
01/05/2024;03:30:00;0             ;1,390             ;5,595.8;
01/05/2024;03:45:00;0             ;1,389             ;5,589.9;
01/05/2024;04:00:00;3.6             ;1,381             ;5,542.7;
01/05/2024;04:15:00;5.6             ;1,374             ;5,501.5;
01/05/2024;04:30:00;0.4             ;1,373             ;5,495.6;
01/05/2024;04:45:00;1.2             ;1,370             ;5,478;
01/05/2024;05:00:00;12.4             ;1,379             ;5,530.9;
01/05/2024;05:15:00;9.6             ;1,381             ;5,542.7;
01/05/2024;05:30:00;12.2             ;1,391             ;5,601.7;
01/05/2024;05:45:00;1.8             ;1,401             ;5,660.9;
01/05/2024;06:00:00;0.6             ;1,407             ;5,696.5;
01/05/2024;06:15:00;0.2             ;1,414             ;5,738.2;
01/05/2024;06:30:00;0             ;1,415             ;5,744.1;
01/05/2024;06:45:00;0             ;1,421             ;5,779.9;
01/05/2024;07:00:00;0.4             ;1,422             ;5,785.9;
01/05/2024;07:15:00;3.4             ;1,427             ;5,815.7;
01/05/2024;07:30:00;14.2             ;1,433             ;5,851.7;
01/05/2024;07:45:00;5.6             ;1,438             ;5,881.6;
01/05/2024;08:00:00;7.2             ;1,445             ;5,923.7;
01/05/2024;08:15:00;0.4             ;1,452             ;5,965.8;
01/05/2024;08:30:00;1.2             ;1,458             ;6,002;
01/05/2024;08:45:00;0             ;1,468             ;6,062.5;
01/05/2024;09:00:00;0             ;1,473             ;6,092.9;
01/05/2024;09:15:00;1.6             ;1,487             ;6,178;
01/05/2024;09:30:00;7.6             ;1,497             ;6,239;
01/05/2024;09:45:00;2.4             ;1,511             ;6,324.8;
01/05/2024;10:00:00;1             ;1,522             ;6,392.4;
01/05/2024;10:15:00;1.8             ;1,536             ;6,478.8;
01/05/2024;10:30:00;7.4             ;1,549             ;6,559.4;
01/05/2024;10:45:00;3.6             ;1,567             ;6,671.5;
01/05/2024;11:00:00;2.6             ;1,586             ;6,790.4;
01/05/2024;11:15:00;0.2             ;1,609             ;6,935.2;
01/05/2024;11:30:00;1.2             ;1,632             ;7,081;
01/05/2024;11:45:00;0.4             ;1,663             ;7,279;
01/05/2024;12:00:00;1.6             ;1,703             ;7,536.9;
01/05/2024;12:15:00;5.8             ;1,743             ;7,797.7;
01/05/2024;12:30:00;8.8             ;1,791             ;8,114.2;
01/05/2024;12:45:00;4.4             ;1,845             ;8,470.7;
01/05/2024;13:00:00;4.6             ;1,895             ;8,785.8;
01/05/2024;13:15:00;3.4             ;1,944             ;9,097.8;
01/05/2024;13:30:00;4             ;1,998             ;9,445.1;
01/05/2024;13:45:00;2.2             ;2,036             ;9,691.6;
01/05/2024;14:00:00;3.4             ;2,075             ;9,946.5;
01/05/2024;14:15:00;3.6             ;2,110             ;10,176.8;
01/05/2024;14:30:00;2.6             ;2,136             ;10,348.8;
01/05/2024;14:45:00;1.8             ;2,164             ;10,534.9;
01/05/2024;15:00:00;2.2             ;2,184             ;10,668.4;
01/05/2024;15:15:00;1.6             ;2,202             ;10,789;
01/05/2024;15:30:00;1.6             ;2,217             ;10,889.8;
01/05/2024;15:45:00;1.2             ;2,231             ;10,984.1;
01/05/2024;16:00:00;1.4             ;2,250             ;11,112.4;
01/05/2024;16:15:00;1             ;2,256             ;11,153;
01/05/2024;16:30:00;1.2             ;2,271             ;11,254.7;
01/05/2024;16:45:00;0.2             ;2,283             ;11,336.2;
01/05/2024;17:00:00;0.6             ;2,288             ;11,370.2;
01/05/2024;17:15:00;0.6             ;2,296             ;11,424.7;
01/05/2024;17:30:00;0.4             ;2,310             ;11,520.3;
01/05/2024;17:45:00;0             ;2,314             ;11,547.6;
01/05/2024;18:00:00;0.2             ;2,321             ;11,595.5;
01/05/2024;18:15:00;0.2             ;2,329             ;11,650.3;
01/05/2024;18:30:00;0.4             ;2,339             ;11,718.9;
01/05/2024;18:45:00;0.6             ;2,344             ;11,753.2;
01/05/2024;19:00:00;8             ;2,351             ;11,801.3;
01/05/2024;19:15:00;7             ;2,361             ;11,870.2;
01/05/2024;19:30:00;2.2             ;2,361             ;11,870.2;
01/05/2024;19:45:00;0             ;2,369             ;11,925.3;
01/05/2024;20:00:00;0             ;2,373             ;11,952.9;
01/05/2024;20:15:00;0             ;2,372             ;11,946;
01/05/2024;20:30:00;0             ;2,375             ;11,966.7;
01/05/2024;20:45:00;0             ;2,380             ;12,001.3;
01/05/2024;21:00:00;0             ;2,380             ;12,001.3;
01/05/2024;21:15:00;0             ;2,381             ;12,008.2;
