Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
01/05/2024;00:00:00;0             ;1,245             ;;
01/05/2024;00:15:00;0             ;1,237             ;;
01/05/2024;00:30:00;0             ;1,231             ;;
01/05/2024;00:45:00;0             ;1,225             ;;
01/05/2024;01:00:00;0             ;1,219             ;;
01/05/2024;01:15:00;0             ;1,209             ;;
01/05/2024;01:30:00;7.2             ;1,202             ;;
01/05/2024;01:45:00;0.6             ;1,193             ;;
01/05/2024;02:00:00;0             ;1,185             ;;
01/05/2024;02:15:00;0             ;1,178             ;;
01/05/2024;02:30:00;0             ;1,170             ;;
01/05/2024;02:45:00;0             ;1,163             ;;
01/05/2024;03:00:00;0.6             ;1,153             ;;
01/05/2024;03:15:00;8             ;1,148             ;;
01/05/2024;03:30:00;2.4             ;1,138             ;;
01/05/2024;03:45:00;0.8             ;1,132             ;;
01/05/2024;04:00:00;10.6             ;1,125             ;;
01/05/2024;04:15:00;4.4             ;1,124             ;;
01/05/2024;04:30:00;8             ;1,122             ;;
01/05/2024;04:45:00;1             ;1,122             ;;
01/05/2024;05:00:00;0.8             ;1,124             ;;
01/05/2024;05:15:00;0.2             ;1,126             ;;
01/05/2024;05:30:00;0             ;1,129             ;;
01/05/2024;05:45:00;0             ;1,133             ;;
01/05/2024;06:00:00;0.4             ;1,138             ;;
01/05/2024;06:15:00;1.4             ;1,142             ;;
01/05/2024;06:30:00;12.8             ;1,147             ;;
01/05/2024;06:45:00;4.2             ;1,156             ;;
01/05/2024;07:00:00;4             ;1,162             ;;
01/05/2024;07:15:00;0.6             ;1,171             ;;
01/05/2024;07:30:00;1.6             ;1,185             ;;
01/05/2024;07:45:00;0.2             ;1,197             ;;
01/05/2024;08:00:00;0.8             ;1,205             ;;
01/05/2024;08:15:00;1.4             ;1,216             ;;
01/05/2024;08:30:00;5.4             ;1,230             ;;
01/05/2024;08:45:00;3.6             ;1,240             ;;
01/05/2024;09:00:00;7.6             ;1,254             ;;
01/05/2024;09:15:00;4.4             ;1,270             ;;
01/05/2024;09:30:00;3.4             ;1,289             ;;
01/05/2024;09:45:00;4.4             ;1,311             ;;
01/05/2024;10:00:00;5             ;1,340             ;;
01/05/2024;10:15:00;2.8             ;1,371             ;;
01/05/2024;10:30:00;0.8             ;1,402             ;;
01/05/2024;10:45:00;1.6             ;1,437             ;;
01/05/2024;11:00:00;4.2             ;1,476             ;;
01/05/2024;11:15:00;6             ;1,508             ;;
01/05/2024;11:30:00;4.4             ;1,546             ;;
01/05/2024;11:45:00;2.6             ;1,583             ;;
01/05/2024;12:00:00;1.8             ;1,629             ;;
01/05/2024;12:15:00;2.8             ;1,668             ;;
01/05/2024;12:30:00;2.8             ;1,714             ;;
01/05/2024;12:45:00;2             ;1,763             ;;
01/05/2024;13:00:00;5.6             ;1,810             ;;
01/05/2024;13:15:00;2.8             ;1,853             ;;
01/05/2024;13:30:00;1.8             ;1,895             ;;
01/05/2024;13:45:00;1.6             ;1,931             ;;
01/05/2024;14:00:00;1.8             ;1,968             ;;
01/05/2024;14:15:00;1.2             ;1,998             ;;
01/05/2024;14:30:00;1.4             ;2,029             ;;
01/05/2024;14:45:00;1.2             ;2,046             ;;
01/05/2024;15:00:00;1.2             ;2,062             ;;
01/05/2024;15:15:00;1             ;2,081             ;;
01/05/2024;15:30:00;0.6             ;2,097             ;;
01/05/2024;15:45:00;0.4             ;2,107             ;;
01/05/2024;16:00:00;0.4             ;2,121             ;;
01/05/2024;16:15:00;0.6             ;2,133             ;;
01/05/2024;16:30:00;0.2             ;2,146             ;;
01/05/2024;16:45:00;0.6             ;2,154             ;;
01/05/2024;17:00:00;0.2             ;2,159             ;;
01/05/2024;17:15:00;0.6             ;2,171             ;;
01/05/2024;17:30:00;0.4             ;2,172             ;;
01/05/2024;17:45:00;2.2             ;2,178             ;;
01/05/2024;18:00:00;2.6             ;2,183             ;;
01/05/2024;18:15:00;3.6             ;2,190             ;;
01/05/2024;18:30:00;0.2             ;2,191             ;;
01/05/2024;18:45:00;0             ;2,191             ;;
01/05/2024;19:00:00;0             ;2,195             ;;
01/05/2024;19:15:00;0             ;2,198             ;;
01/05/2024;19:30:00;0             ;2,189             ;;
01/05/2024;19:45:00;0             ;2,188             ;;
01/05/2024;20:00:00;0             ;2,185             ;;
01/05/2024;20:15:00;0.6             ;2,177             ;;
01/05/2024;20:30:00;0.8             ;2,190             ;;
01/05/2024;20:45:00;3.6             ;2,176             ;;
01/05/2024;21:00:00;0             ;2,176             ;;
01/05/2024;21:15:00;2.8             ;2,177             ;;
01/05/2024;21:30:00;2.6             ;2,168             ;;
01/05/2024;21:45:00;0             ;2,168             ;;
01/05/2024;22:00:00;0             ;2,158             ;;
01/05/2024;22:15:00;0             ;2,150             ;;
01/05/2024;22:30:00;3.4             ;2,150             ;;
01/05/2024;22:45:00;0.2             ;2,135             ;;
01/05/2024;23:00:00;0.2             ;2,130             ;;
01/05/2024;23:15:00;0.6             ;2,134             ;;
01/05/2024;23:30:00;1.6             ;2,125             ;;
01/05/2024;23:45:00;2.2             ;2,117             ;;
02/05/2024;00:00:00;0.8             ;2,113             ;;
02/05/2024;00:15:00;1.8             ;2,108             ;;
02/05/2024;00:30:00;0.8             ;2,103             ;;
02/05/2024;00:45:00;6.6             ;2,113             ;;
02/05/2024;01:00:00;0.6             ;2,117             ;;
02/05/2024;01:15:00;0             ;2,121             ;;
02/05/2024;01:30:00;0.2             ;2,119             ;;
02/05/2024;01:45:00;10.6             ;2,125             ;;
02/05/2024;02:00:00;7.2             ;2,129             ;;
02/05/2024;02:15:00;11.2             ;2,136             ;;
02/05/2024;02:30:00;1.4             ;2,135             ;;
02/05/2024;02:45:00;2.4             ;2,143             ;;
02/05/2024;03:00:00;5             ;2,141             ;;
02/05/2024;03:15:00;19             ;2,147             ;;
02/05/2024;03:30:00;4             ;2,153             ;;
02/05/2024;03:45:00;2.2             ;2,154             ;;
02/05/2024;04:00:00;1.4             ;2,160             ;;
02/05/2024;04:15:00;0.6             ;2,170             ;;
02/05/2024;04:30:00;0.6             ;2,175             ;;
02/05/2024;04:45:00;1.2             ;2,177             ;;
02/05/2024;05:00:00;0.6             ;2,180             ;;
02/05/2024;05:15:00;0.8             ;2,186             ;;
02/05/2024;05:30:00;0.8             ;2,193             ;;
02/05/2024;05:45:00;2.6             ;2,204             ;;
02/05/2024;06:00:00;3.8             ;2,199             ;;
02/05/2024;06:15:00;0.6             ;2,205             ;;
02/05/2024;06:30:00;0.6             ;2,220             ;;
02/05/2024;06:45:00;0.8             ;2,210             ;;
02/05/2024;07:00:00;0             ;2,214             ;;
02/05/2024;07:15:00;0.4             ;2,217             ;;
02/05/2024;07:30:00;0.4             ;2,222             ;;
02/05/2024;07:45:00;0.8             ;2,218             ;;
02/05/2024;08:00:00;0.8             ;2,224             ;;
02/05/2024;08:15:00;1.4             ;2,233             ;;
02/05/2024;08:30:00;1.8             ;2,224             ;;
02/05/2024;08:45:00;2.2             ;2,221             ;;
02/05/2024;09:00:00;1.2             ;2,226             ;;
02/05/2024;09:15:00;1.2             ;2,228             ;;
02/05/2024;09:30:00;1.2             ;2,221             ;;
02/05/2024;09:45:00;0.8             ;2,221             ;;
02/05/2024;10:00:00;1.2             ;2,224             ;;
02/05/2024;10:15:00;1.6             ;2,213             ;;
02/05/2024;10:30:00;1.6             ;2,207             ;;
02/05/2024;10:45:00;1.4             ;2,212             ;;
02/05/2024;11:00:00;1             ;2,206             ;;
02/05/2024;11:15:00;1.4             ;2,204             ;;
02/05/2024;11:30:00;0.8             ;2,193             ;;
02/05/2024;11:45:00;0.6             ;2,199             ;;
02/05/2024;12:00:00;0.6             ;2,191             ;;
02/05/2024;12:15:00;0.8             ;2,188             ;;
02/05/2024;12:30:00;1.6             ;2,180             ;;
02/05/2024;12:45:00;0.8             ;2,180             ;;
02/05/2024;13:00:00;0             ;2,172             ;;
02/05/2024;13:15:00;0.4             ;2,167             ;;
02/05/2024;13:30:00;0.4             ;2,170             ;;
02/05/2024;13:45:00;0.6             ;2,161             ;;
02/05/2024;14:00:00;0.4             ;2,161             ;;
02/05/2024;14:15:00;0.6             ;2,158             ;;
02/05/2024;14:30:00;0.4             ;2,160             ;;
02/05/2024;14:45:00;2.6             ;2,155             ;;
02/05/2024;15:00:00;3.8             ;2,165             ;;
02/05/2024;15:15:00;1.4             ;2,177             ;;
02/05/2024;15:30:00;0.4             ;2,199             ;;
02/05/2024;15:45:00;0.6             ;2,200             ;;
02/05/2024;16:00:00;1.4             ;2,212             ;;
02/05/2024;16:15:00;8.8             ;2,223             ;;
02/05/2024;16:30:00;8.6             ;2,232             ;;
02/05/2024;16:45:00;0.6             ;2,228             ;;
02/05/2024;17:00:00;0.6             ;2,232             ;;
02/05/2024;17:15:00;0.4             ;2,220             ;;
02/05/2024;17:30:00;0             ;2,224             ;;
02/05/2024;17:45:00;0             ;2,210             ;;
02/05/2024;18:00:00;12.2             ;2,214             ;;
02/05/2024;18:15:00;1.2             ;2,207             ;;
02/05/2024;18:30:00;0.4             ;2,202             ;;
02/05/2024;18:45:00;0.6             ;2,186             ;;
02/05/2024;19:00:00;0.4             ;2,180             ;;
02/05/2024;19:15:00;0             ;2,173             ;;
02/05/2024;19:30:00;0             ;2,161             ;;
02/05/2024;19:45:00;0             ;2,156             ;;
02/05/2024;20:00:00;0             ;2,143             ;;
02/05/2024;20:15:00;0             ;2,141             ;;
02/05/2024;20:30:00;0.2             ;2,137             ;;
02/05/2024;20:45:00;0.2             ;2,131             ;;
02/05/2024;21:00:00;0             ;2,123             ;;
02/05/2024;21:15:00;0.4             ;2,115             ;;
02/05/2024;21:30:00;0.4             ;2,109             ;;
02/05/2024;21:45:00;0.4             ;2,105             ;;
02/05/2024;22:00:00;0             ;2,092             ;;
02/05/2024;22:15:00;0.2             ;2,094             ;;
02/05/2024;22:30:00;0.2             ;2,085             ;;
02/05/2024;22:45:00;0             ;2,076             ;;
02/05/2024;23:00:00;0             ;2,071             ;;
02/05/2024;23:15:00;0.4             ;2,066             ;;
02/05/2024;23:30:00;0             ;2,067             ;;
02/05/2024;23:45:00;0             ;2,056             ;;
03/05/2024;00:00:00;0             ;2,051             ;;
03/05/2024;00:15:00;0.2             ;2,045             ;;
03/05/2024;00:30:00;0             ;2,038             ;;
03/05/2024;00:45:00;0             ;2,029             ;;
03/05/2024;01:00:00;0             ;2,025             ;;
03/05/2024;01:15:00;0             ;2,017             ;;
03/05/2024;01:30:00;0             ;2,010             ;;
03/05/2024;01:45:00;0             ;2,001             ;;
03/05/2024;02:00:00;0             ;1,996             ;;
03/05/2024;02:15:00;0             ;1,990             ;;
03/05/2024;02:30:00;0             ;1,978             ;;
03/05/2024;02:45:00;0             ;1,972             ;;
03/05/2024;03:00:00;0             ;1,966             ;;
03/05/2024;03:15:00;0             ;1,955             ;;
03/05/2024;03:30:00;0             ;1,953             ;;
03/05/2024;03:45:00;0             ;1,940             ;;
03/05/2024;04:00:00;0             ;1,933             ;;
03/05/2024;04:15:00;0             ;1,927             ;;
03/05/2024;04:30:00;0             ;1,917             ;;
03/05/2024;04:45:00;0             ;1,907             ;;
03/05/2024;05:00:00;0             ;1,900             ;;
03/05/2024;05:15:00;0             ;1,888             ;;
03/05/2024;05:30:00;0             ;1,875             ;;
03/05/2024;05:45:00;0             ;1,865             ;;
03/05/2024;06:00:00;0             ;1,855             ;;
03/05/2024;06:15:00;0             ;1,848             ;;
03/05/2024;06:30:00;0             ;1,834             ;;
03/05/2024;06:45:00;0             ;1,827             ;;
03/05/2024;07:00:00;0             ;1,819             ;;
03/05/2024;07:15:00;0             ;1,806             ;;
03/05/2024;07:30:00;0.2             ;1,799             ;;
03/05/2024;07:45:00;0             ;1,787             ;;
03/05/2024;08:00:00;0             ;1,778             ;;
03/05/2024;08:15:00;0             ;1,770             ;;
03/05/2024;08:30:00;0             ;1,757             ;;
03/05/2024;08:45:00;0             ;1,749             ;;
03/05/2024;09:00:00;0             ;1,740             ;;
03/05/2024;09:15:00;0             ;1,726             ;;
03/05/2024;09:30:00;0.2             ;1,722             ;;
03/05/2024;09:45:00;0             ;1,709             ;;
03/05/2024;10:00:00;0             ;1,697             ;;
03/05/2024;10:15:00;0             ;1,689             ;;
03/05/2024;10:30:00;0             ;1,679             ;;
03/05/2024;10:45:00;0             ;1,667             ;;
03/05/2024;11:00:00;0             ;1,661             ;;
03/05/2024;11:15:00;0             ;1,651             ;;
03/05/2024;11:30:00;0             ;1,639             ;;
03/05/2024;11:45:00;0             ;1,628             ;;
03/05/2024;12:00:00;0             ;1,622             ;;
03/05/2024;12:15:00;0             ;1,609             ;;
03/05/2024;12:30:00;0             ;1,600             ;;
03/05/2024;12:45:00;0             ;1,587             ;;
03/05/2024;13:00:00;0             ;1,578             ;;
03/05/2024;13:15:00;0             ;1,569             ;;
03/05/2024;13:30:00;0             ;1,560             ;;
03/05/2024;13:45:00;0             ;1,546             ;;
03/05/2024;14:00:00;0             ;1,538             ;;
03/05/2024;14:15:00;0             ;1,528             ;;
03/05/2024;14:30:00;0             ;1,520             ;;
03/05/2024;14:45:00;0             ;1,513             ;;
03/05/2024;15:00:00;0             ;1,499             ;;
03/05/2024;15:15:00;0             ;1,491             ;;
03/05/2024;15:30:00;0             ;1,481             ;;
03/05/2024;15:45:00;0             ;1,472             ;;
03/05/2024;16:00:00;0             ;1,461             ;;
03/05/2024;16:15:00;0             ;1,449             ;;
03/05/2024;16:30:00;0             ;1,443             ;;
03/05/2024;16:45:00;0             ;1,433             ;;
03/05/2024;17:00:00;0             ;1,425             ;;
03/05/2024;17:15:00;0             ;1,415             ;;
03/05/2024;17:30:00;0             ;1,406             ;;
03/05/2024;17:45:00;0             ;1,397             ;;
03/05/2024;18:00:00;0             ;1,387             ;;
03/05/2024;18:15:00;0             ;1,380             ;;
03/05/2024;18:30:00;0             ;1,372             ;;
03/05/2024;18:45:00;0             ;1,361             ;;
03/05/2024;19:00:00;0             ;1,351             ;;
03/05/2024;19:15:00;0             ;1,347             ;;
03/05/2024;19:30:00;0.2             ;1,337             ;;
03/05/2024;19:45:00;0             ;1,329             ;;
03/05/2024;20:00:00;0             ;1,322             ;;
03/05/2024;20:15:00;0             ;1,314             ;;
03/05/2024;20:30:00;0             ;1,304             ;;
03/05/2024;20:45:00;0             ;1,297             ;;
03/05/2024;21:00:00;0             ;1,287             ;;
03/05/2024;21:15:00;0             ;1,278             ;;
03/05/2024;21:30:00;0             ;1,273             ;;
03/05/2024;21:45:00;0             ;1,265             ;;
03/05/2024;22:00:00;0             ;1,256             ;;
03/05/2024;22:15:00;0             ;1,249             ;;
03/05/2024;22:30:00;0.2             ;1,243             ;;
03/05/2024;22:45:00;0             ;1,234             ;;
03/05/2024;23:00:00;0             ;1,227             ;;
03/05/2024;23:15:00;0             ;1,219             ;;
03/05/2024;23:30:00;0.2             ;1,215             ;;
03/05/2024;23:45:00;0.8             ;1,206             ;;
04/05/2024;00:00:00;0.8             ;1,200             ;;
04/05/2024;00:15:00;1.4             ;1,194             ;;
04/05/2024;00:30:00;2.6             ;1,186             ;;
04/05/2024;00:45:00;3             ;1,180             ;;
04/05/2024;01:00:00;2.6             ;1,175             ;;
04/05/2024;01:15:00;2.6             ;1,169             ;;
04/05/2024;01:30:00;2.4             ;1,162             ;;
04/05/2024;01:45:00;2             ;1,157             ;;
04/05/2024;02:00:00;1.6             ;1,155             ;;
04/05/2024;02:15:00;2.2             ;1,149             ;;
04/05/2024;02:30:00;1.2             ;1,143             ;;
04/05/2024;02:45:00;0.6             ;1,139             ;;
