Qualidade dos Dados:;Aprovado  ;Suspeito  ;Reprovado  ;Fora do Limite  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
;Régua Seca  ;Régua Coberta  ;Rio Seco  ;Rio Cortado  ;;;;;;;;;;;;;;;;;;;
Temperatura Interna / Status da Bateria:;;  Normal  ;  Atenção  ;  Crítico  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
Estação: 5 - 86720000 - ENCANTADO;;;;;;;;;;;;;;;;;;;;;;;
Data/Hora;Chuva Horária (mm);Nível adotado (cm);Vazão (m³/s);Bateria (V);Temp. Interna (ºC);;;;;;;;;;;;;;;;;;
22/03/2024 23:00;0.00;113.00;6.70;12.70;16.10;;;;;;;;;;;;;;;;;;
22/03/2024 22:45;0.00;114.00;7.40;12.70;16.10;;;;;;;;;;;;;;;;;;
22/03/2024 22:30;0.00;114.00;7.40;12.70;16.10;;;;;;;;;;;;;;;;;;
22/03/2024 22:15;0.00;115.00;8.20;12.90;17.50;;;;;;;;;;;;;;;;;;
22/03/2024 22:00;0.00;115.00;8.20;12.90;17.50;;;;;;;;;;;;;;;;;;
22/03/2024 21:45;0.00;116.00;9.10;12.90;17.50;;;;;;;;;;;;;;;;;;
22/03/2024 21:30;0.00;117.00;9.90;12.90;17.50;;;;;;;;;;;;;;;;;;
22/03/2024 21:15;0.00;118.00;10.80;12.90;18.70;;;;;;;;;;;;;;;;;;
22/03/2024 21:00;0.00;119.00;11.70;12.90;18.70;;;;;;;;;;;;;;;;;;
22/03/2024 20:45;0.00;120.00;12.60;12.90;18.70;;;;;;;;;;;;;;;;;;
22/03/2024 20:30;0.00;121.00;13.60;12.90;18.70;;;;;;;;;;;;;;;;;;
22/03/2024 20:15;0.00;121.00;13.60;13.00;20.00;;;;;;;;;;;;;;;;;;
22/03/2024 20:00;0.00;122.00;14.60;13.00;20.00;;;;;;;;;;;;;;;;;;
22/03/2024 19:45;0.00;123.00;15.60;13.00;20.00;;;;;;;;;;;;;;;;;;
22/03/2024 19:30;0.00;124.00;16.60;13.00;20.00;;;;;;;;;;;;;;;;;;
22/03/2024 19:15;0.00;125.00;17.70;13.50;21.60;;;;;;;;;;;;;;;;;;
22/03/2024 19:00;0.00;126.00;18.70;13.50;21.60;;;;;;;;;;;;;;;;;;
22/03/2024 18:45;0.00;127.00;19.80;13.50;21.60;;;;;;;;;;;;;;;;;;
22/03/2024 18:30;0.00;128.00;21.00;13.50;21.60;;;;;;;;;;;;;;;;;;
22/03/2024 18:15;0.00;129.00;22.10;13.80;23.10;;;;;;;;;;;;;;;;;;
22/03/2024 18:00;0.00;130.00;23.30;13.80;23.10;;;;;;;;;;;;;;;;;;
22/03/2024 17:45;0.00;130.00;23.30;13.80;23.10;;;;;;;;;;;;;;;;;;
22/03/2024 17:30;0.00;131.00;24.50;13.80;23.10;;;;;;;;;;;;;;;;;;
22/03/2024 17:15;0.00;131.00;24.50;13.90;23.80;;;;;;;;;;;;;;;;;;
