Qualidade dos Dados:;Aprovado  ;Suspeito  ;Reprovado  ;Fora do Limite  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
;Régua Seca  ;Régua Coberta  ;Rio Seco  ;Rio Cortado  ;;;;;;;;;;;;;;;;;;;
Temperatura Interna / Status da Bateria:;;  Normal  ;  Atenção  ;  Crítico  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
Estação: 5 - 86720000 - ENCANTADO;;;;;;;;;;;;;;;;;;;;;;;
Data/Hora;Chuva Horária (mm);Nível adotado (cm);Vazão (m³/s);Bateria (V);Temp. Interna (ºC);;;;;;;;;;;;;;;;;;
20/06/2024 16:00;0.00;;;13.80;20.30;;;;;;;;;;;;;;;;;;
20/06/2024 15:45;0.00;;;13.80;20.30;;;;;;;;;;;;;;;;;;
20/06/2024 15:30;0.00;;;13.80;20.30;;;;;;;;;;;;;;;;;;
20/06/2024 15:15;0.00;;;13.90;20.40;;;;;;;;;;;;;;;;;;
20/06/2024 15:00;0.00;;;13.90;20.40;;;;;;;;;;;;;;;;;;
20/06/2024 14:45;0.00;;;13.90;20.40;;;;;;;;;;;;;;;;;;
20/06/2024 14:30;0.00;;;13.90;20.40;;;;;;;;;;;;;;;;;;
20/06/2024 14:15;0.00;;;13.90;20.10;;;;;;;;;;;;;;;;;;
20/06/2024 14:00;0.00;700.00;2809.28;13.90;20.10;;;;;;;;;;;;;;;;;;
20/06/2024 13:45;0.00;;;13.90;20.10;;;;;;;;;;;;;;;;;;
20/06/2024 13:30;0.00;;;13.90;20.10;;;;;;;;;;;;;;;;;;
20/06/2024 13:15;0.00;;;14.00;19.90;;;;;;;;;;;;;;;;;;
20/06/2024 13:00;0.00;702.00;2821.11;14.00;19.90;;;;;;;;;;;;;;;;;;
20/06/2024 12:45;0.00;;;14.00;19.90;;;;;;;;;;;;;;;;;;
20/06/2024 12:30;0.00;;;14.00;19.90;;;;;;;;;;;;;;;;;;
20/06/2024 12:15;0.00;;;14.00;19.70;;;;;;;;;;;;;;;;;;
20/06/2024 12:00;0.00;706.00;2844.83;14.00;19.70;;;;;;;;;;;;;;;;;;
20/06/2024 11:45;0.00;;;14.00;19.70;;;;;;;;;;;;;;;;;;
20/06/2024 11:30;0.00;;;14.00;19.70;;;;;;;;;;;;;;;;;;
20/06/2024 11:15;0.00;;;13.50;19.30;;;;;;;;;;;;;;;;;;
20/06/2024 11:00;0.00;710.00;2868.64;13.50;19.30;;;;;;;;;;;;;;;;;;
20/06/2024 10:45;0.00;;;13.50;19.30;;;;;;;;;;;;;;;;;;
20/06/2024 10:30;0.00;;;13.50;19.30;;;;;;;;;;;;;;;;;;
20/06/2024 10:15;0.00;;;13.10;18.70;;;;;;;;;;;;;;;;;;
20/06/2024 10:00;0.00;715.00;2898.52;13.10;18.70;;;;;;;;;;;;;;;;;;
20/06/2024 09:45;0.00;;;13.10;18.70;;;;;;;;;;;;;;;;;;
20/06/2024 09:30;0.00;;;13.10;18.70;;;;;;;;;;;;;;;;;;
