Qualidade dos Dados:;Aprovado  ;Suspeito  ;Reprovado  ;Fora do Limite  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
;Régua Seca  ;Régua Coberta  ;Rio Seco  ;Rio Cortado  ;;;;;;;;;;;;;;;;;;;
Temperatura Interna / Status da Bateria:;;  Normal  ;  Atenção  ;  Crítico  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
Estação: 5 - 86510000 - MUÇUM;;;;;;;;;;;;;;;;;;;;;;;
Data/Hora;Chuva Horária (mm);Nível adotado (cm);Vazão (m³/s);Bateria (V);Temp. Interna (ºC);;;;;;;;;;;;;;;;;;
20/06/2024 15:45;0.00;829.00;2614.33;14.40;21.00;;;;;;;;;;;;;;;;;;
20/06/2024 15:30;0.00;833.00;2632.99;14.40;21.00;;;;;;;;;;;;;;;;;;
20/06/2024 15:15;0.00;838.00;2656.38;14.40;21.00;;;;;;;;;;;;;;;;;;
20/06/2024 15:00;0.00;842.00;2675.14;14.40;21.00;;;;;;;;;;;;;;;;;;
20/06/2024 14:45;0.00;843.00;2679.83;14.50;20.80;;;;;;;;;;;;;;;;;;
20/06/2024 14:30;0.00;844.00;2684.53;14.50;20.80;;;;;;;;;;;;;;;;;;
20/06/2024 14:15;0.00;846.00;2693.94;14.50;20.80;;;;;;;;;;;;;;;;;;
20/06/2024 14:00;0.00;846.00;2693.94;14.50;20.80;;;;;;;;;;;;;;;;;;
20/06/2024 13:45;0.00;847.00;2698.64;14.40;20.30;;;;;;;;;;;;;;;;;;
20/06/2024 13:30;0.00;848.00;2703.35;14.40;20.30;;;;;;;;;;;;;;;;;;
20/06/2024 13:15;0.00;847.00;2698.64;14.40;20.30;;;;;;;;;;;;;;;;;;
20/06/2024 13:00;0.00;848.00;2703.35;14.40;20.30;;;;;;;;;;;;;;;;;;
20/06/2024 12:45;0.00;850.00;2712.77;14.40;19.80;;;;;;;;;;;;;;;;;;
20/06/2024 12:30;0.00;848.00;2703.35;14.40;19.80;;;;;;;;;;;;;;;;;;
20/06/2024 12:15;0.00;849.00;2708.06;14.40;19.80;;;;;;;;;;;;;;;;;;
20/06/2024 12:00;0.00;850.00;2712.77;14.40;19.80;;;;;;;;;;;;;;;;;;
20/06/2024 11:45;0.00;851.00;2717.49;13.60;19.00;;;;;;;;;;;;;;;;;;
20/06/2024 11:30;0.00;851.00;2717.49;13.60;19.00;;;;;;;;;;;;;;;;;;
20/06/2024 11:15;0.00;853.00;2726.93;13.60;19.00;;;;;;;;;;;;;;;;;;
20/06/2024 11:00;0.00;855.00;2736.38;13.60;19.00;;;;;;;;;;;;;;;;;;
20/06/2024 10:45;0.00;856.00;2741.11;13.20;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 10:30;0.00;859.00;2755.31;13.20;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 10:15;0.00;861.00;2764.79;13.20;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 10:00;0.00;861.00;2764.79;13.20;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 09:45;0.00;865.00;2783.78;12.80;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 09:30;0.00;864.00;2779.03;12.80;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 09:15;0.00;865.00;2783.78;12.80;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 09:00;0.00;869.00;2802.82;12.80;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 08:45;0.00;869.00;2802.82;12.80;19.00;;;;;;;;;;;;;;;;;;
20/06/2024 08:30;0.00;871.00;2812.35;12.80;19.00;;;;;;;;;;;;;;;;;;
20/06/2024 08:15;0.00;871.00;2812.35;12.80;19.00;;;;;;;;;;;;;;;;;;
20/06/2024 08:00;0.00;873.00;2821.89;12.80;19.00;;;;;;;;;;;;;;;;;;
20/06/2024 07:45;0.00;875.00;2831.44;12.80;19.30;;;;;;;;;;;;;;;;;;
20/06/2024 07:30;0.00;875.00;2831.44;12.80;19.30;;;;;;;;;;;;;;;;;;
20/06/2024 07:15;0.20;877.00;2841.00;12.80;19.30;;;;;;;;;;;;;;;;;;
20/06/2024 07:00;0.40;879.00;2850.57;12.80;19.30;;;;;;;;;;;;;;;;;;
20/06/2024 06:45;0.40;878.00;2845.79;12.80;19.10;;;;;;;;;;;;;;;;;;
20/06/2024 06:30;0.40;880.00;2855.36;12.80;19.10;;;;;;;;;;;;;;;;;;
20/06/2024 06:15;2.60;880.00;2855.36;12.80;19.10;;;;;;;;;;;;;;;;;;
20/06/2024 06:00;2.80;881.00;2860.16;12.80;19.10;;;;;;;;;;;;;;;;;;
20/06/2024 05:45;0.00;883.00;2869.75;12.80;18.90;;;;;;;;;;;;;;;;;;
20/06/2024 05:30;0.00;884.00;2874.55;12.80;18.90;;;;;;;;;;;;;;;;;;
20/06/2024 05:15;0.00;881.00;2860.16;12.80;18.90;;;;;;;;;;;;;;;;;;
20/06/2024 05:00;0.00;883.00;2869.75;12.80;18.90;;;;;;;;;;;;;;;;;;
20/06/2024 04:45;0.00;884.00;2874.55;12.80;18.70;;;;;;;;;;;;;;;;;;
20/06/2024 04:30;0.00;886.00;2884.15;12.80;18.70;;;;;;;;;;;;;;;;;;
20/06/2024 04:15;0.00;886.00;2884.15;12.80;18.70;;;;;;;;;;;;;;;;;;
20/06/2024 04:00;0.00;888.00;2893.77;12.80;18.70;;;;;;;;;;;;;;;;;;
20/06/2024 03:45;0.00;887.00;2888.96;12.90;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 03:30;0.00;890.00;2903.40;12.90;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 03:15;0.00;892.00;2913.03;12.90;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 03:00;0.00;891.00;2908.21;12.90;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 02:45;0.00;894.00;2922.68;12.90;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 02:30;0.00;897.00;2937.17;12.90;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 02:15;0.00;896.00;2932.34;12.90;18.60;;;;;;;;;;;;;;;;;;
20/06/2024 02:00;0.00;899.00;2946.84;12.90;18.60;;;;;;;;;;;;;;;;;;
